list_size,getsizeof
0,56
1,88
2,88
3,88
4,88
5,120
6,120
7,120
8,120
9,184
10,184
11,184
12,184
13,184
14,184
15,184
16,184
17,256
18,256
19,256
20,256
21,256
22,256
23,256
24,256
25,256
26,336
27,336
28,336
29,336
30,336
31,336
32,336
33,336
34,336
35,336
36,424
37,424
38,424
39,424
40,424
41,424
42,424
43,424
44,424
45,424
46,424
47,520
48,520
49,520
50,520
51,520
52,520
53,520
54,520
55,520
56,520
57,520
58,520
59,632
60,632
61,632
62,632
63,632
64,632
65,632
66,632
67,632
68,632
69,632
70,632
71,632
72,632
73,760
74,760
75,760
76,760
77,760
78,760
79,760
80,760
81,760
82,760
83,760
84,760
85,760
86,760
87,760
88,760
89,904
90,904
91,904
92,904
93,904
94,904
95,904
96,904
97,904
98,904
99,904
100,904
101,904
102,904
103,904
104,904
105,904
106,904
107,1064
108,1064
109,1064
110,1064
111,1064
112,1064
113,1064
114,1064
115,1064
116,1064
117,1064
118,1064
119,1064
120,1064
121,1064
122,1064
123,1064
124,1064
125,1064
126,1064
127,1240
