list_size,getsizeof
0,56
1,88
2,88
3,88
4,88
5,120
6,120
7,120
8,120
9,184
10,184
11,184
12,184
13,184
14,184
15,184
16,184
17,248
18,248
19,248
20,248
21,248
22,248
23,248
24,248
25,312
26,312
27,312
28,312
29,312
30,312
31,312
32,312
33,376
34,376
35,376
36,376
37,376
38,376
39,376
40,376
41,472
42,472
43,472
44,472
45,472
46,472
47,472
48,472
49,472
50,472
51,472
52,472
53,568
54,568
55,568
56,568
57,568
58,568
59,568
60,568
61,568
62,568
63,568
64,568
65,664
66,664
67,664
68,664
69,664
70,664
71,664
72,664
73,664
74,664
75,664
76,664
77,792
78,792
79,792
80,792
81,792
82,792
83,792
84,792
85,792
86,792
87,792
88,792
89,792
90,792
91,792
92,792
93,920
94,920
95,920
96,920
97,920
98,920
99,920
100,920
101,920
102,920
103,920
104,920
105,920
106,920
107,920
108,920
109,1080
110,1080
111,1080
112,1080
113,1080
114,1080
115,1080
116,1080
117,1080
118,1080
119,1080
120,1080
121,1080
122,1080
123,1080
124,1080
125,1080
126,1080
127,1080
128,1080
